Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"R7,R8,R9,R20,R23",R_0805_2012Metric,5,10K,
2,Q1,SOT-23,1,MMBT3904,
3,C2,C_0805_2012Metric,1,0.1uF,
4,J5,JST_10FMN-SMT-A-TF(LF)(SN)_1x10-1MP_P1.00mm_Horizontal,1,Conn_01x10,
5,U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CC,
6,D2,LED_RGB_1210,1,BATT_STATUS,
7,SW1,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,1,SW_Push,
8,"REF**,REF**,REF**,REF**",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole_3.2mm_M3_ISO7380_Pad,
9,U2,Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias,1,TPS61090,
10,J1,CUI_UJ31-CH-3-SMT-TR,1,UJ31-CH-3-SMT-TR,
11,"R1,R2",R_0805_2012Metric,2,5.1K,
12,"R3,R6,R10",R_0805_2012Metric,3,100K,
13,R4,R_0805_2012Metric,1,270K,
14,R5,R_0805_2012Metric,1,1.0K,
15,"R11,R18",R_0805_2012Metric,2,200K,
16,"R14,R21,R12,R13,R24",R_0805_2012Metric,5,1K,
17,"R15,R17",R_0805_2012Metric,2,1.87M,
18,R16,R_0805_2012Metric,1,340K,
19,"R19,R22",R_0805_2012Metric,2,6.8K,
20,J2,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
21,"C1,C5,C6",C_1206_3216Metric,3,10uF/10V,
22,C3,C_Elec_6.3x5.4,1,100uF/10V,
23,C4,C_0805_2012Metric,1,100nF,
24,C7,C_0805_2012Metric,1,2.2uF,
25,C8,C_Elec_6.3x5.4,1,100uF,
26,J3,PinHeader_1x02_P1.27mm_Vertical,1,10K(NTC),
27,J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LIPO(1S1P),
28,L1,L_Laird_TYS5040470M-10,1,6.8uH,
29,Q2,SOT-23,1,MMUN2133LT1G,
30,D3,LED_0805_2012Metric,1,LOW_BATT,
31,F1,Fuse_1206_3216Metric,1,1206L300SLTHYR,
32,U3,SOIC-16W_5.3x10.2mm_P1.27mm,1,MCP3008,
33,D1,D_SOD-323F,1,BAT54J,
34,D4,LED_0805_2012Metric,1,PWR,
